#iStoreID	sStoreNama	sStroreIconID	iRandom	sRandom	sItemID	sBuyamount	iAddReset	iAddBackpack	iCheckAch	iStoreType
1100001	400001	malltop-01	0	0	100201	10	0	1	0	0
1100001	400001	malltop-01	0	0	100202	10	0	1	0	0
1100001	400001	malltop-01	0	0	100203	10	0	1	0	0
1100002	400002	malltop-01	0	0	100412	8	0	0	0	0
1100003	400003	malltop-01	0	0	100413	5	0	0	0	0
1100004	400004	malltop-01	0	0	100251	10	0	1	0	0
1100004	400004	malltop-01	0	0	100252	10	0	1	0	0
1100005	400005	malltop-01	0	0	100257	10	0	1	0	0
1100005	400005	malltop-01	0	0	100258	10	0	1	0	0
1100005	400005	malltop-01	0	0	100259	10	0	1	0	0
1100005	400005	malltop-01	0	0	100260	10	0	1	0	0
1100006	400006	malltop-01	0	0	100301	6	0	0	0	0
1100006	400006	malltop-01	0	0	100302	4	0	0	0	0
1100006	400006	malltop-01	0	0	100303	5	0	0	0	0
1100006	400006	malltop-01	0	0	100304	4	0	0	0	0
1100006	400006	malltop-01	0	0	100305	8	0	0	0	0
1100007	400007	malltop-01	0	0	990045	1	0	1	0	0
1100007	400007	malltop-01	0	0	990056	1	0	1	0	0
1100007	400007	malltop-01	0	0	200323	1	0	1	0	0
1100007	400007	malltop-01	1	5	200204	1	0	1	0	0
1100007	400007	malltop-01	1	7	200205	1	0	1	0	0
1100008	400008	malltop-01	0	0	100351	5	0	1	0	0
1100008	400008	malltop-01	0	0	100352	7	0	1	0	0
1100008	400008	malltop-01	0	0	100353	6	0	1	0	0
1100008	400008	malltop-01	0	0	100354	5	0	1	0	0
1100008	400008	malltop-01	0	0	100355	6	0	1	0	0
1100009	400008	malltop-01	0	0	100351	10	0	0	0	0
1100009	400008	malltop-01	0	0	100352	10	0	0	0	0
1100009	400008	malltop-01	0	0	100353	10	0	0	0	0
1100009	400008	malltop-01	0	0	100354	10	0	0	0	0
1100009	400008	malltop-01	0	0	100355	10	0	0	0	0
1100010	400009	malltop-01	0	0	100051	2000	0	1	0	0
1100010	400009	malltop-01	0	0	100053	5	0	1	0	0
1100010	400009	malltop-01	0	0	100101	50	0	1	0	0
1100010	400009	malltop-01	0	0	100010	10	0	1	0	0
1100010	400009	malltop-01	0	0	100102	10	0	1	0	0
1100010	400009	malltop-01	0	0	100105	50	0	1	0	0
1100010	400009	malltop-01	0	0	100106	5	0	1	0	0
1100010	400009	malltop-01	0	0	100107	50	0	1	0	0
1100011	400011	malltop-01	0	0	100163	30	0	1	0	0
1100011	400011	malltop-01	0	0	100158	30	0	1	0	0
1100011	400011	malltop-01	0	0	100152	30	0	1	0	0
1100011	400011	malltop-01	0	0	100187	30	0	1	0	0
1100011	400011	malltop-01	0	0	100156	30	0	1	0	0
1100011	400011	malltop-01	0	0	100165	30	0	1	0	0
1100011	400011	malltop-01	0	0	100177	30	0	1	0	0
1100011	400011	malltop-01	0	0	100154	30	0	1	0	0
1100011	400011	malltop-01	0	0	300009	2	0	1	0	0
1100012	400012	malltop-01	0	0	910001	1	0	1	0	0
1100012	400012	malltop-01	0	0	910002	1	0	1	0	0
1100012	400012	malltop-01	0	0	910003	1	0	1	0	0
1100012	400012	malltop-01	0	0	910004	1	0	1	0	0
1100012	400012	malltop-01	0	0	910005	1	0	1	0	0
1100012	400012	malltop-01	0	0	910006	1	0	1	0	0
1100012	400012	malltop-01	0	0	910007	1	0	1	0	0
1100012	400012	malltop-01	0	0	910008	1	0	1	0	0
1100012	400012	malltop-01	0	0	910009	1	0	1	0	0
1100012	400012	malltop-01	0	0	910010	1	0	1	0	0
1100012	400012	malltop-01	0	0	910011	1	0	1	0	0
1100012	400012	malltop-01	0	0	910012	1	0	1	0	0
1100012	400012	malltop-01	0	0	910013	1	0	1	0	0
1100012	400012	malltop-01	0	0	910014	1	0	1	0	0
1100012	400012	malltop-01	0	0	910015	1	0	1	0	0
1100012	400012	malltop-01	0	0	910016	1	0	1	0	0
1100013	400013	malltop-01	0	0	200301	1	0	1	0	0
1100013	400013	malltop-01	0	0	200304	1	0	1	0	0
1100013	400013	malltop-01	0	0	200306	1	0	1	0	0
1100013	400013	malltop-01	0	0	200315	1	0	1	0	0
1100013	400013	malltop-01	0	0	200316	1	0	1	0	0
1100013	400013	malltop-01	0	0	200320	1	0	1	0	0
1100013	400013	malltop-01	0	0	200339	1	0	1	0	0
1100014	400010	malltop-01	0	0	670005	5	0	0	0	0
1100014	400010	malltop-01	0	0	600011	10	0	0	0	0
1100014	400010	malltop-01	0	0	600012	5	0	0	0	0
1100014	400010	malltop-01	0	0	600107	10	0	0	0	0
1100014	400010	malltop-01	0	0	600108	5	0	0	0	0
1100014	400010	malltop-01	0	0	600301	10	0	0	0	0
1100014	400010	malltop-01	0	0	600302	5	0	0	0	0
1100014	400010	malltop-01	0	0	600402	20	0	0	0	0
1100014	400010	malltop-01	0	0	600501	1	0	0	0	0
1100014	400010	malltop-01	0	0	660001	1	0	0	0	0
1100014	400010	malltop-01	0	0	660002	1	0	0	0	0
1100014	400010	malltop-01	0	0	660003	1	0	0	0	0
1100015	400014	malltop-01	0	0	100402	3	0	0	0	0
1100015	400014	malltop-01	0	0	100414	3	0	0	0	0
1100015	400014	malltop-01	0	0	100415	4	0	0	0	0
1100016	400015	malltop-01	0	0	220501	5	0	1	0	0
1100016	400015	malltop-01	0	0	220502	5	0	1	0	0
1100016	400015	malltop-01	0	0	220503	5	0	1	0	0
1100016	400015	malltop-01	0	0	220504	5	0	1	0	0
1100016	400015	malltop-01	0	0	220506	5	0	1	0	0
1100016	400015	malltop-01	0	0	220507	5	0	1	0	0
1100016	400015	malltop-01	0	0	220508	5	0	1	0	0
1100016	400015	malltop-01	0	0	220509	5	0	1	0	0
1100016	400015	malltop-01	0	0	220510	5	0	1	0	0
1100017	400016	malltop-01	0	0	100201	50	0	1	0	0
1100017	400016	malltop-01	0	0	100202	50	0	1	0	0
1100017	400016	malltop-01	0	0	100203	50	0	1	0	0
1100017	400016	malltop-01	0	0	100206	50	0	1	0	0
1100018	400017	malltop-01	0	0	100257	20	0	1	0	0
1100018	400017	malltop-01	1	8	100265	4	0	1	0	0
1100018	400017	malltop-01	1	5	100261	4	0	1	0	0
1100018	400017	malltop-01	0	0	100258	20	0	1	0	0
1100018	400017	malltop-01	0	0	100259	20	0	1	0	0
1100018	400017	malltop-01	0	0	100260	20	0	1	0	0
1100019	400013	malltop-01	0	0	200317	1	0	1	0	0
1100019	400013	malltop-01	0	0	200319	1	0	1	0	0
1100019	400013	malltop-01	0	0	200324	1	0	1	0	0
1100019	400013	malltop-01	0	0	200341	1	0	1	0	0
1100019	400013	malltop-01	0	0	200342	1	0	1	0	0
1100019	400013	malltop-01	0	0	200343	1	0	1	0	0
1100020	400018	malltop-01	0	0	100169	40	0	1	0	0
1100020	400018	malltop-01	0	0	100162	40	0	1	0	0
1100020	400018	malltop-01	0	0	100164	40	0	1	0	0
1100020	400018	malltop-01	0	0	100186	40	0	1	0	0
1100020	400018	malltop-01	0	0	100170	40	0	1	0	0
1100020	400018	malltop-01	0	0	100172	40	0	1	0	0
1100020	400018	malltop-01	0	0	100183	40	0	1	0	0
1100020	400018	malltop-01	0	0	100158	40	0	1	0	0
1100020	400018	malltop-01	0	0	100163	40	0	1	0	0
1100020	400018	malltop-01	0	0	100156	40	0	1	0	0
1100020	400018	malltop-01	0	0	100165	40	0	1	0	0
1100020	400018	malltop-01	0	0	100177	40	0	1	0	0
1100020	400018	malltop-01	0	0	300009	2	0	1	0	0
1100021	400019	malltop-01	0	0	600017	1	0	1	0	0
1100021	400019	malltop-01	0	0	600015	1	0	1	0	0
1100021	400019	malltop-01	0	0	600109	1	0	1	0	0
1100021	400019	malltop-01	0	0	600110	1	0	1	0	0
1100021	400019	malltop-01	0	0	600306	1	0	1	0	0
1100021	400019	malltop-01	0	0	600123	1	0	1	0	0
1100021	400019	malltop-01	0	0	600504	1	0	1	0	0
1100021	400019	malltop-01	0	0	660004	1	0	1	0	0
1100021	400019	malltop-01	0	0	660005	1	0	1	0	0
1100021	400019	malltop-01	0	0	660008	1	0	1	0	0
1100022	400020	malltop-01	0	0	231001	5	0	1	0	0
1100022	400020	malltop-01	0	0	231002	5	0	1	0	0
1100022	400020	malltop-01	0	0	231003	5	0	1	0	0
1100022	400020	malltop-01	0	0	231004	5	0	1	0	0
1100022	400020	malltop-01	0	0	231005	5	0	1	0	0
1100022	400020	malltop-01	0	0	231006	5	0	1	0	0
1100023	400028	malltop-01	0	0	230001	5	0	1	0	0
1100023	400028	malltop-01	0	0	230002	5	0	1	0	0
1100023	400028	malltop-01	0	0	230003	5	0	1	0	0
1100023	400028	malltop-01	0	0	230004	5	0	1	0	0
1100023	400028	malltop-01	0	0	230005	5	0	1	0	0
1100023	400028	malltop-01	0	0	230006	5	0	1	0	0
1100023	400028	malltop-01	1	3	230007	1	0	1	0	0
1100023	400028	malltop-01	0	0	910058	1	0	1	0	0
1100023	400028	malltop-01	0	0	910059	1	0	1	0	0
1100024	400022	malltop-01	0	0	910017	1	0	1	0	0
1100024	400022	malltop-01	0	0	910018	1	0	1	0	0
1100024	400022	malltop-01	0	0	910019	1	0	1	0	0
1100024	400022	malltop-01	0	0	910020	1	0	1	0	0
1100024	400022	malltop-01	0	0	910021	1	0	1	0	0
1100024	400022	malltop-01	0	0	910022	1	0	1	0	0
1100024	400022	malltop-01	0	0	910023	1	0	1	0	0
1100024	400022	malltop-01	0	0	910024	1	0	1	0	0
1100024	400022	malltop-01	0	0	910025	1	0	1	0	0
1100024	400022	malltop-01	0	0	910026	1	0	1	0	0
1100024	400022	malltop-01	0	0	910027	1	0	1	0	0
1100024	400022	malltop-01	0	0	910028	1	0	1	0	0
1100024	400022	malltop-01	0	0	910029	1	0	1	0	0
1100024	400022	malltop-01	0	0	910030	1	0	1	0	0
1100024	400022	malltop-01	0	0	910031	1	0	1	0	0
1100024	400022	malltop-01	0	0	910032	1	0	1	0	0
1100025	400009	malltop-01	0	0	100051	900	0	1	0	0
1100025	400009	malltop-01	0	0	100053	5	0	1	0	0
1100025	400009	malltop-01	0	0	100101	50	0	1	0	0
1100025	400009	malltop-01	0	0	100010	10	0	1	0	0
1100025	400009	malltop-01	0	0	100102	10	0	1	0	0
1100025	400009	malltop-01	0	0	100105	50	0	1	0	0
1100025	400009	malltop-01	0	0	100106	20	0	1	0	0
1100025	400009	malltop-01	0	0	100107	50	0	1	0	0
1100026	400023	malltop-01	0	0	600007	1	0	1	0	0
1100026	400023	malltop-01	0	0	600021	1	0	1	0	0
1100026	400023	malltop-01	0	0	600404	1	0	1	0	0
1100026	400023	malltop-01	0	0	660006	1	0	1	0	0
1100026	400023	malltop-01	0	0	310006	5	0	1	0	0
1100026	400023	malltop-01	0	0	300009	3	0	1	0	0
1100026	400023	malltop-01	0	0	670001	1	0	1	0	0
1100026	400023	malltop-01	0	0	600104	1	0	1	0	0
1100026	400023	malltop-01	0	0	600115	1	0	1	0	0
1100026	400023	malltop-01	0	0	600117	1	0	1	0	0
1100026	400023	malltop-01	0	0	600018	1	0	1	0	0
1100026	400023	malltop-01	0	0	600016	1	0	1	0	0
1100026	400023	malltop-01	0	0	600009	1	0	1	0	0
1100027	400024	malltop-01	0	0	990007	5	0	1	0	1
1100028	400025	malltop-01	0	0	990026	5	0	1	0	0
1100029	400014	malltop-01	0	0	100280	10	0	1	0	1
1100030	400026	malltop-01	0	0	100601	5	0	1	0	0
1100030	400026	malltop-01	0	0	100602	3	0	1	0	0
1100030	400026	malltop-01	0	0	100603	5	0	1	0	0
1100030	400026	malltop-01	0	0	100604	6	0	1	0	0
1100030	400026	malltop-01	0	0	100605	4	0	1	0	0
1100030	400026	malltop-01	0	0	100606	8	0	1	0	0
1100030	400026	malltop-01	0	0	100607	2	0	1	0	0
1100030	400026	malltop-01	0	0	100608	3	0	1	0	0
1100031	400027	malltop-01	0	0	100365	3	0	0	0	0
1100031	400027	malltop-01	0	0	100359	4	0	0	0	0
1100031	400027	malltop-01	0	0	100360	5	0	0	0	0
1100031	400027	malltop-01	0	0	100361	3	0	0	0	0
1100031	400027	malltop-01	0	0	100362	5	0	0	0	0
1100031	400027	malltop-01	0	0	100363	4	0	0	0	0
1100031	400027	malltop-01	0	0	100364	2	0	0	0	0
1100032	400033	malltop-01	0	0	232001	3	0	1	0	0
1100032	400033	malltop-01	0	0	232002	5	0	1	0	0
1100032	400033	malltop-01	0	0	232003	8	0	1	0	0
1100032	400033	malltop-01	0	0	232004	2	0	1	0	0
1100032	400033	malltop-01	1	7	232005	1	0	1	0	0
1100033	400029	malltop-01	0	0	100311	4	0	0	0	0
1100033	400029	malltop-01	0	0	100312	3	0	0	0	0
1100033	400029	malltop-01	0	0	100313	6	0	0	0	0
1100033	400029	malltop-01	0	0	100316	5	0	0	0	0
1100033	400029	malltop-01	0	0	100317	4	0	0	0	0
1100033	400029	malltop-01	0	0	100318	2	0	0	0	0
1100034	400031	malltop-01	0	0	100403	5	0	0	0	0
1100034	400031	malltop-01	0	0	100404	5	0	0	0	0
1100034	400031	malltop-01	0	0	100410	5	0	0	0	0
1100034	400031	malltop-01	0	0	100411	5	0	0	0	0
1100035	400027	malltop-01	0	0	100365	3	0	0	0	0
1100035	400027	malltop-01	0	0	100359	4	0	0	0	0
1100035	400027	malltop-01	0	0	100360	5	0	0	0	0
1100035	400027	malltop-01	0	0	100361	3	0	0	0	0
1100035	400027	malltop-01	0	0	100362	5	0	0	0	0
1100035	400027	malltop-01	0	0	100363	4	0	0	0	0
1100035	400027	malltop-01	0	0	100364	2	0	0	0	0
1100036	400010	malltop-01	0	0	670004	1	0	0	0	0
1100036	400010	malltop-01	0	0	600014	1	0	0	0	0
1100036	400010	malltop-01	0	0	600013	1	0	0	0	0
1100036	400010	malltop-01	0	0	600011	1	0	0	0	0
1100036	400010	malltop-01	0	0	600012	1	0	0	0	0
1100036	400010	malltop-01	0	0	600102	1	0	0	0	0
1100036	400010	malltop-01	0	0	600109	1	0	0	0	0
1100036	400010	malltop-01	0	0	600302	1	0	0	0	0
1100036	400010	malltop-01	0	0	600303	1	0	0	0	0
1100036	400010	malltop-01	0	0	600401	1	0	0	0	0
1100036	400010	malltop-01	0	0	600122	1	0	0	0	0
1100036	400010	malltop-01	0	0	600501	1	0	0	0	0
1100036	400010	malltop-01	0	0	660004	1	0	0	0	0
1100036	400010	malltop-01	0	0	660005	1	0	0	0	0
1100036	400010	malltop-01	0	0	660003	1	0	0	0	0
1100101	400005	malltop-01	0	0	100257	100	0	1	0	0
1100101	400005	malltop-01	0	0	100258	100	0	1	0	0
1100101	400005	malltop-01	0	0	100259	100	0	1	0	0
1100101	400005	malltop-01	0	0	100260	100	0	1	0	0
1100101	400005	malltop-01	0	0	100261	1	0	1	0	0
1100102	400009	malltop-01	0	0	100051	900	0	1	0	0
1100102	400009	malltop-01	0	0	100053	5	0	1	0	0
1100102	400009	malltop-01	0	0	100101	50	0	1	0	0
1100102	400009	malltop-01	0	0	100010	10	0	1	0	0
1100102	400009	malltop-01	0	0	100102	10	0	1	0	0
