#sGroupID	iOrder	iNpcID	iImageDirection	sNpcVoice	sActionID	sManager	iInFields	sBtnName1	sOpenUIID1	sArg1	sBtnName2	sOpenUIID2	sArg2	sBtnName3	sOpenUIID3	sArg3	sBtnName4	sOpenUIID4	sArg4	sNextQuestID	fDestroyTime	iGiftID
100001	1	0	0	0	stand01	测试用:我想回养成了	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
100002	1	0	0	0	stand01	睡了会超过约定时间，还是别睡了。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010101	1	0	0	0	stand01	【瞧二师兄这副紧张兮兮的样子，身上刚好有[FFFF00]春宫图册[-]，嘻嘻…要不要送给二师兄看看呢？】	1	一、【就拿给二师兄看吧。】	2	1010102	二、【还是算了，就算跟他分享，他也不会理解的。】	1	0	0	0	0	0	0	0	0	0	0
1010102	1	0	0	0	stand01	嘻嘻…二师兄、二师兄！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	2	100016	1	0	action03	做啥！你怎还在这！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	3	0	0	0	stand01	嘻嘻，二师兄啊～二师兄！<br>我这有本很棒的秘籍想要送给二师兄瞧瞧，二师兄就收下吧！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	4	100016	1	0	action03	哦？亏你想的到要孝敬我！拿来让我瞧瞧！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	5	0	0	0	stand01	喏。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	6	100016	1	0	action03	……春宫图册？	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	7	0	0	0	stand01	二师兄应该要多实时享乐的！我啊，别无他求，就希望看到二师兄每天开心！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	8	100016	1	0	action03	这…这里面…这、这是怎么做到的！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	9	0	0	0	stand01	哦？	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	10	100016	1	0	action03	你这死小鬼，拿这东西来孝敬我，当心我扁死你！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	11	0	0	0	stand01	二师兄平日太严肃了，应该要放松一下的！人家小师弟是为了你好啊！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	12	100016	1	0	action03	我不用这个也可以过得很好！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	13	0	0	0	stand01	哦？	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	14	100016	1	0	action03	啊！烦死了！你再不走，我就扁死你！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	15	0	0	0	stand01	…那书…	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	16	100016	1	0	action03	没收！这种不正经的东西要是被师父看到，那可不得了！我这替你收着！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	17	0	0	0	stand01	呦，多谢二师兄！	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010102	18	0	0	0	stand01	【哈哈哈哈哈哈哈哈！】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
